raw_index,source,content,tokens,noise_content
0,0,Owner's Manual,3,OWNER’S MANU AL
1,2,"CONTENTS: CONTACT(S) FOR SUPPORT 1, FOREWORD 5, UNIQUE FEATURES OF TVS JUPITER 125 6, ACCESSORIES 10, SAFETY INFORMATION 11, NOTICE 12, RUNNING-IN INFORMATION 13, SAFE RIDING TIPS 14, KNOW YOUR TVS JUPITER 125 18, RIDING YOUR TVS JUPITER 125 37, MAINTENANCE 41, EXPRESS SERVICE 64, EXPERT ON WHEELS 65, PICKUP AND DROP 66, WARRANTY AND SERVICES 67, TECHNICAL SPECIFICATIONS 73, GENERAL INFORMATION 78.",132,"c
CONTENTS
CONTACT(S) FOR SUPPORT 1
FOREWORD 5
UNIQUE FEATURES OF TVS JUPITER 125 6
ACCESSORIES 10
SAFETY INFORMATION 11
NOTICE 12
RUNNING-IN INFORMATION 13
SAFE RIDING TIPS 14
KNOW YOUR TVS JUPITER 125 18
RIDING YOUR TVS JUPITER 125 37
MAINTENANCE 41
EXPRESS SERVICE 64
EXPERT ON WHEELS 65
PICKUP AND DROP 66
WARRANTY AND SERVICES 67
TECHNICAL SPECIFICATIONS 73
GENERAL INFORMATION 78CONTENTS"
2,3,"1CONTACT(S) FOR SUPPORT: In case you need any clarification, please contact TVS Motor Company's Authorised Main Dealer/Authorised Dealer, Area Offices (flip over for addresses), Toll Free Number (1800-258-7111), or Email (customercare@tvsmotor.com). DISCLAIMER: TVS Motor Company or any of its officials/Authorised Main Dealer/Authorised Dealer do not ask customers for bank/card/wallet details/authentication. In case you face any such claim, please report to the relevant local authorities immediately.",120,"1
1CONTACT(S) FOR SUPPORT
Incase you need any Clarification please contact
TVS Motor Company Authorised Main Dealer / Authorised Dealer
Or
TVS Motor Company’s Area Offices (flip over for addresses)
Or
T oll Free Number : 1800-258-7111
Email : customercare@tvsmotor.com
Disclaimer :  TVS Motor Company or any of its officials / Authorized Main dealer / Authorized Dealer do not ask customers for bank 
/ card / wallet details / authentication. In case you face any such claim, please report to the relevant local authorities immediately."
3,4,"Contact at our area offices: 
Tamilnadu-1, 3 & 4: 
1. TVS Motor Company Limited, V Floor, Gee Gee Universal, No. 2, MC Nichols Road, Chetpet, Chennai - 600 031. Phone: 044-28361651/28361654. Email: AO.Chennai@tvsmotor.com, AO.Madurai@tvsmotor.com. 
Tamilnadu-2: 
2. TVS Motor Company Limited, No. 10, 2nd floor, Shree Shanmugapriya Towers, Kannuswamy Street, Behind Hotel Annapoorna, R S Puram, Coimbatore - 641 002. Phone: 0422-4350060/2541035. Email: AO.Coimbatore@tvsmotor.com. 
Kerala: 
3. TVS Motor Company Limited, Ambady Towers, Second Floor, Door No. 27/631, A6, Edappally-Pookkattupady Road, Edappally PO., Cochin - 682 024. Phone: 0484-2544578/2556938. Email: AO.Cochin@tvsmotor.com. 
Karnataka-1, 2 & Goa: 
4.",298,"2CONTACT AT OUR AREA OFFICES
TAMILNADU-1, 3 & 4
1. TVS Motor Company Limited
 V Floor, Gee Gee Universal,
 No. 2, MC Nichols Road,
 Chetpet, Chennai - 600 031 .
 Phone : 044-28361651/28361654
 Email : AO.Chennai@tvsmotor.com
             AO.Madurai@tvsmotor.com
TAMILNADU-2
2. TVS Motor Company Limited
 No. 10, 2nd floor,
 Shree Shanmugapriya Towers,
 Kannuswamy Street,
 Behind Hotel Annapoorna,
 R S Puram, Coimbatore - 641 002.
 Phone : 0422-4350060/2541035
 Email : AO.Coimbatore@tvsmotor.com
KERALA
3. TVS Motor Company Limited
 Ambady Towers, Second Floor,
 Door No. 27/631, A6,
 Edappally-Pookkattupady Road,
 Edappally PO., Cochin - 682 024.
 Phone : 0484-2544578/2556938
 Email : AO.Cochin@tvsmotor.comKARNATAKA-1, 2 & GOA
4. TVS Motor Company Limited
 No. 600, Anand Surya, 2nd Floor,
 15th Cross, 6th Phase, JP Nagar,
 Opp. BMTC Bus Stop, 
 Bangalore - 560 078.
 Phone : 080-26653433
 Email : AO.Bangalore@tvsmotor.com
             AO.Hubli@tvsmotor.com
ANDHRAPRADESH -1 & 2
5. TVS Motor Company Limited
 Rukumani Towers, First Floor,
 No. 3-11-30, Plot No. 11,
 Paigha Colony, Behind Anand Theater,
 Secunderabad - 500 003.
 Phone : 040-27840590/27844419
 Email : AO.Hyderabad@tvsmotor.com
             AO.Vijayawada@tvsmotor.com
MAHARASHTRA-1 & 2
6. TVS Motor Company Limited
 No. 401, 4th Floor, The Chambers,
 Plot No. 4/12/3, Near Ganapati Chowk,
 Viman Nagar, Pune - 411 014.
 Phone : 020-26632111/26632110
 Email : Service.pune@tvsmotor.comMAHARASHTRA-3  & CHATTISGARH"
4,4,"No. 401, 4th Floor, The Chambers, Plot No. 4/12/3, Near Ganapati Chowk, Viman Nagar, Pune - 411 014. Phone: 020-26632111/26632110 Email: Service.pune@tvsmotor.com MAHARASHTRA-3 & CHATTISGARH 7. TVS Motor Company Limited No. 502B, 6th Floor, B Wing, Shriram Shyam Towers, Near LIC Square, Sardar, Nagpur - 440 001. Phone: 0712-2569932 Email: Service.Nagpur@tvsmotor.com AO.Raipur@tvsmotor.com GUJARATH 8. TVS Motor Company Limited 109, Ayna Complex, Opp. Suvarna Villa Bungalows, 100 ft Thaltej Hebbatpur Road, Off: S.G. Highway, Thaltej, Ahmedabad - 380 054. Phone: 079-65443748 Email: AO.Ahmedabad@tvsmotor.com

Location 1: No. 401, 4th Floor, The Chambers, Plot No. 4/12/3, Near Ganapati Chowk, Viman Nagar, Pune - 411 014. Phone: 020-26632111/26632110 Email: Service.pune@tv",298,"No. 401, 4th Floor, The Chambers,
 Plot No. 4/12/3, Near Ganapati Chowk,
 Viman Nagar, Pune - 411 014.
 Phone : 020-26632111/26632110
 Email : Service.pune@tvsmotor.comMAHARASHTRA-3  & CHATTISGARH
7 . TVS Motor Company Limited
 No. 502B, 6th Floor, B Wing,
 Shriram Shyam Towers,
 Near LIC Square, Sardar,
 Nagpur - 440 001 .
 Phone : 0712-2569932
 Email : Service.Nagpur@tvsmotor.com
              AO.Raipur@tvsmotor.com
GUJARATH
8. TVS Motor Company Limited
 109, Ayna Complex,
 Opp. Suvarna Villa Bungalows,
 100 ft Thaltej Hebbatpur Road,
 Off : S.G. Highway, Thaltej,
 Ahmedabad - 380 054.
 Phone : 079-65443748
 Email : AO.Ahmedabad@tvsmotor.com"
5,5,"3MADHYA PRADESH-1 & 2: TVS Motor Company Limited, No. 211-212, 2nd Floor, Chinar Incube Business Centre, Chinar Fortune City, Near Brindhavan Dhaba, Hosangabad Road, Bhopal - 462 026. Phone: 0755-2499406/2499306, Email: AO.Bhopal@tvsmotor.com, AO.Indore@tvsmotor.com

RAJASTHAN-1 & 2: TVS Motor Company Limited, Plot No. 17-18, 2nd Floor of National Motors Building, Jhotwara Industrial Area, Jaipur - 302 012. Phone: 0141-5150901/5150902, Email: AO.Jaipur@tvsmotor.com, AO.Udaipur@tvsmotor.com

DELHI & HARYANA: TVS Motor Company Limited, D-3 & D-4, 2nd Floor, Sector - 10, Noida, Uttar Pradesh - 201 301. Phone: 011-29834640/29834773, Email: AO.Delhi@tvsmotor.com, AO.Haryana@tvsmotor.com

PUNJAB & CHANDIGARH: TVS Motor Company Limited, 4th Floor, Royal Business Park",298,"3
3MADHYA PRADESH-1 & 2
9. TVS Motor Company Limited
 No. 211-212, 2nd Floor,
 Chinar Incube Business Centre,
 Chinar Fortune City,
 Near Brindhavan Dhaba,
 Hosangabad Road,
 Bhopal - 462 026.
 Phone : 0755-2499406/2499306
 Email : AO.Bhopal@tvsmotor.com
             AO.Indore@tvsmotor.com
RAJASTHAN-1 & 2
10. TVS Motor Company Limited
 Plot No. 17-18,
 2nd Floor of National Motors Building,
 Jhotwara Industrial Area,
 Jaipur - 302 012.
 Phone : 0141-5150901/5150902
 Email : AO.Jaipur@tvsmotor.com
             AO.Udaipur@tvsmotor.com
DELHI & HARYANA
11. TVS Motor Company Limited
 D-3 & D-4, 2nd Floor,
 Sector - 10, Noida,
 Uttar Pradesh - 201 301 .
 Phone : 011-29834640/29834773
 Email : AO.Delhi@tvsmotor.com
             AO.Haryana@tvsmotor.com PUNJAB & CHANDIGARH
12. TVS Motor Company Limited
 4th Floor, Royal Business Park,
 Chandigarh Ambala Highway,
 Zirkapur - 140 603.
 Phone : 01762-464777/465777
 Email : AO.Chandigarh@tvsmotor.com
UTTAR PRADESH WEST
13. TVS Motor Company Limited
 D-3 & D-4, 2nd Floor,
 Sector - 10, Noida,
 Uttar Pradesh - 201 301 .
 Phone : 011-29834640/29834773
 Email : AO.Upw@tvsmotor.com
UTTAR PRADESH CENTRAL & EAST
14. TVS Motor Company Limited
 1st Floor, Cyber Tower, TC-34/V-2,
 Vibhuti Khand, Gomti Nagar,
 Lucknow - 226 010.
 Phone : 0522-4918300/4918301
 Email : AO.Upe@tvsmotor.com
             AO.Upc@tvsmotor.comWEST BENGAL
15. TVS Motor Company Limited
 Ground Floor & First Floor,
 133 A. S. P . Mukherjee Road,"
6,5,"Phone: 0522-4918300/4918301, Email: AO.Upe@tvsmotor.com, AO.Upc@tvsmotor.com, Location: West Bengal, Address: Ground Floor & First Floor, 133 A. S. P. Mukherjee Road, Opp. Tollygunge Police Station, Kolkatta - 700 026, Phone: 033-24617096/24617092, Email: AO.Kolkatta@tvsmotor.com, Location: Bihar, Address: N-Plaza, Jamal Road, P.S. Kotwali, Patna - 800 001, Phone: 0612-2200068/2200069, Email: AO.BNJ@tvsmotor.com",166,"Phone : 0522-4918300/4918301
 Email : AO.Upe@tvsmotor.com
             AO.Upc@tvsmotor.comWEST BENGAL
15. TVS Motor Company Limited
 Ground Floor & First Floor,
 133 A. S. P . Mukherjee Road,
 Opp. Tollygunge Police Station,
 Kolkatta - 700 026.
 Phone : 033-24617096/24617092
 Email : AO.Kolkatta@tvsmotor.com
BIHAR
16. TVS Motor Company Limited
 N-Plaza, Jamal Road,
 P .S. Kotwali,
 Patna - 800 001 .
 Phone : 0612-2200068/2200069
 Email : AO.BNJ@tvsmotor.com"
7,6,"ORISSA & JHARKHAND: 17. TVS Motor Company Limited, No. 303, 3rd Floor, Creative Plaza, Rasulgarh, Bhubaneshwar - 751 010. Phone: 0674-2580019, Email: AO.Bhubaneshwar@tvsmotor.com. 
NORTH EAST STATES: 18. TVS Motor Company Limited, 147, Udayan, Ganesh Guri, Opp. Punjab National Bank, R G B. Road, Guwahati - 781 005. Phone: 0361-2202030/2202031, Email: AO.Guwahati@tvsmotor.com.",149,"4ORISSA & JHARKHAND
17 . TVS Motor Company Limited
 No. 303, 3rd Floor,
 Creative Plaza, Rasulgarh,
 Bhubaneshwar - 751 010.
 Phone : 0674-2580019
 Email : AO.Bhubaneshwar@tvsmotor.com
NORTH EAST STATES
18. TVS Motor Company Limited
 147 , Udayan, Ganesh Guri,
 Opp. Punjab National Bank,
 R G B. Road, Guwahati - 781 005.
 Phone : 0361-2202030/2202031
 Email : AO.Guwahati@tvsmotor.com"
8,7,"Dear Jupiter 125 Owner, Thank you for choosing TVS Jupiter 125. The all new TVS Jupiter 125 is bigger, better and powerful, with its Next Gen 125cc engine and many class-leading features. As a proud owner of TVS Jupiter 125, you are now part of the TVS family with millions of satisfied customers. The TVS Jupiter 125 comes with unique features such as best in class underseat storage with twin helmet space, best in class mileage, longest seat in the segment, front fuel fill, metal body, signature style elements and much more. All the features of your new vehicle, along with information on how it operates is available in this manual. To ensure reliable performance, we urge you to get your TVS Jupiter 125 serviced only at TVS Motor Company Authorised Main Dealer / Authorised Dealer at specified intervals. Experience the next level of commuting with the all new TVS Jupiter 125! TVS MOTOR COMPANY LIMITED.",193,"5
5FOREWORD
Dear Jupiter 125 Owner,
Thank you for choosing TVS Jupiter 125. Taking the legacy of TVS Jupiter forward, the all new TVS Jupiter 125 is truly 
bigger, better and powerful. With its Next Gen 125cc engine and many class-leading features it is the perfect new age 
scooter. As a proud owner of TVS Jupiter 125, you are now part of the TVS family with millions of satisfied customers.
The TVS Jupiter 125 comes with new unique features which have been developed keeping your needs in mind - Best 
in class underseat storage with twin helmet space, best in class mileage, longest seat in the segment, front fuel 
fill, metal body, signature style elements and much more. Overall, the TVS Jupiter 125 is a perfect blend of style, 
performance and utility.
All the features of your new vehicle, along with information on how it operates is available in this manual. Kindly read 
it carefully and follow the instructions to enjoy years of comfortable and safe riding. To ensure reliable performance, 
we urge you to get your TVS Jupiter 125 serviced only at TVS Motor Company Authorised Main Dealer / Authorised 
Dealer at specified intervals.
Experience the next level of commuting with the all new TVS Jupiter 125!
TVS MOTOR COMPANY LIMITED"
9,8,"TVS Jupiter 125 has unique features such as ECONOMETER®, Integrated Starter Generator (ISG), Low Fuel Indicator, Side Stand Cut-Off, All in One Lock, and Pass-by Switch. ECONOMETER® indicates whether the scooter is in 'Economy' or 'Power' mode and guides the rider to ride fuel efficiently. ISG system delivers a noiseless start of the scooter. Low Fuel Indicator indicates when the fuel in the tank goes below minimum safe level. Side Stand Cut-Off has an auto engine cut-off and start control system when the side stand is engaged. All in One Lock unlocks the seat and fuel tank cap at the ignition lock itself. Pass-by Switch allows the rider to switch between high & low beam of the head lamp with easy press and auto release.",171,"6UNIQUE FEATURES OF TVS JUPITER 125
ECONOMETER®
Your scooter ’s speedometer has 
ECONOMETER® which indicates 
whether you are riding in ‘Economy’ 
mode or ‘Power’ mode. This is an 
unique feature of your scooter which 
guides you to ride your scooter fuel 
efficiently. Refer page no. 26 for 
details.
INTEGRATED STARTER 
GENERATOR (ISG)
‘Integrated Starter Generator (ISG)’ 
system delivers a noiseless start of 
your scooter.
LOW FUEL INDICATOR
‘Low Fuel Indicator’ is yet another 
unique feature of your scooter which 
indicates you to refill the fuel, when 
the fuel in the tank goes below 
minimum safe level. Refer page no. 
25 for details.
SIDE STAND CUT -OFF
Your scooter has been provided 
with auto engine cut-off and start 
control system when the side stand 
is engaged.
ALL IN ONE LOCK
Your scooter has all in one lock that 
unlocks the seat and fuel tank cap 
at the ignition lock itself. Refer page 
no. 23 for details.
PASS-BY SWITCH
Pass-by Switch is a feature that 
allows you to easily switch between 
high & low beam of the head 
lamp with easy press and auto 
release. It is helpful especially while 
overtaking. Refer page no. 28 for 
details."
