raw_index,source,content,tokens
0,0,Owner's Manual,3
1,1,"'
The cat is sleeping on the couch
'''

The cat is located on the couch and is in a state of sleep.",29
2,2,"CONTENTS: CONTACT(S) FOR SUPPORT 1, FOREWORD 5, UNIQUE FEATURES OF TVS JUPITER 125 6, ACCESSORIES 10, SAFETY INFORMATION 11, NOTICE 12, RUNNING-IN INFORMATION 13, SAFE RIDING TIPS 14, KNOW YOUR TVS JUPITER 125 18, RIDING YOUR TVS JUPITER 125 37, MAINTENANCE 41, EXPRESS SERVICE 64, EXPERT ON WHEELS 65, PICKUP AND DROP 66, WARRANTY AND SERVICES 67, TECHNICAL SPECIFICATIONS 73, GENERAL INFORMATION 78.",132
3,3,"1CONTACT(S) FOR SUPPORT: In case you need any clarification, please contact TVS Motor Company's Authorised Main Dealer/Authorised Dealer, Area Offices (flip over for addresses), Toll Free Number (1800-258-7111), or Email (customercare@tvsmotor.com). DISCLAIMER: TVS Motor Company or any of its officials/Authorised Main Dealer/Authorised Dealer do not ask customers for bank/card/wallet details/authentication. In case you face any such claim, please report to the relevant local authorities immediately.",120
4,4,"Contact at our area offices: 
Tamilnadu-1, 3 & 4: 
1. TVS Motor Company Limited, V Floor, Gee Gee Universal, No. 2, MC Nichols Road, Chetpet, Chennai - 600 031. Phone: 044-28361651/28361654. Email: AO.Chennai@tvsmotor.com, AO.Madurai@tvsmotor.com. 
Tamilnadu-2: 
2. TVS Motor Company Limited, No. 10, 2nd floor, Shree Shanmugapriya Towers, Kannuswamy Street, Behind Hotel Annapoorna, R S Puram, Coimbatore - 641 002. Phone: 0422-4350060/2541035. Email: AO.Coimbatore@tvsmotor.com. 
Kerala: 
3. TVS Motor Company Limited, Ambady Towers, Second Floor, Door No. 27/631, A6, Edappally-Pookkattupady Road, Edappally PO., Cochin - 682 024. Phone: 0484-2544578/2556938. Email: AO.Cochin@tvsmotor.com. 
Karnataka-1, 2 & Goa: 
4.",298
5,5,"3MADHYA PRADESH-1 & 2: 9. TVS Motor Company Limited, No. 211-212, 2nd Floor, Chinar Incube Business Centre, Chinar Fortune City, Near Brindhavan Dhaba, Hosangabad Road, Bhopal - 462 026. Phone: 0755-2499406/2499306, Email: AO.Bhopal@tvsmotor.com, AO.Indore@tvsmotor.com. 
RAJASTHAN-1 & 2: 10. TVS Motor Company Limited, Plot No. 17-18, 2nd Floor of National Motors Building, Jhotwara Industrial Area, Jaipur - 302 012. Phone: 0141-5150901/5150902, Email: AO.Jaipur@tvsmotor.com, AO.Udaipur@tvsmotor.com. 
DELHI & HARYANA: 11. TVS Motor Company Limited, D-3 & D-4, 2nd Floor, Sector - 10, Noida, Uttar Pradesh - 201 301. Phone: 011-29834640/29834773, Email: AO.Delhi@tvsmotor.com, AO.Haryana@tvsmotor.com. 
PUNJAB & CHANDIGARH: 12. TVS",298
6,6,"ORISSA & JHARKHAND: 17. TVS Motor Company Limited, No. 303, 3rd Floor, Creative Plaza, Rasulgarh, Bhubaneshwar - 751 010. Phone: 0674-2580019, Email: AO.Bhubaneshwar@tvsmotor.com. 
NORTH EAST STATES: 18. TVS Motor Company Limited, 147, Udayan, Ganesh Guri, Opp. Punjab National Bank, R G B. Road, Guwahati - 781 005. Phone: 0361-2202030/2202031, Email: AO.Guwahati@tvsmotor.com.",149
7,7,"Dear Jupiter 125 Owner, Thank you for choosing TVS Jupiter 125. The all new TVS Jupiter 125 is bigger, better and powerful, with its Next Gen 125cc engine and many class-leading features. As a proud owner of TVS Jupiter 125, you are now part of the TVS family with millions of satisfied customers. The TVS Jupiter 125 comes with unique features such as best in class underseat storage with twin helmet space, best in class mileage, longest seat in the segment, front fuel fill, metal body, signature style elements and much more. All the features of your new vehicle, along with information on how it operates is available in this manual. To ensure reliable performance, we urge you to get your TVS Jupiter 125 serviced only at TVS Motor Company Authorised Main Dealer / Authorised Dealer at specified intervals. Experience the next level of commuting with the all new TVS Jupiter 125! TVS MOTOR COMPANY LIMITED.",193
8,8,"TVS Jupiter 125 has unique features such as ECONOMETER®, Integrated Starter Generator (ISG), Low Fuel Indicator, Side Stand Cut-Off, All in One Lock, and Pass-by Switch. ECONOMETER® indicates whether the scooter is in 'Economy' or 'Power' mode. ISG system delivers a noiseless start. Low Fuel Indicator indicates when the fuel in the tank goes below minimum safe level. Side Stand Cut-Off has an auto engine cut-off and start control system when the side stand is engaged. All in One Lock unlocks the seat and fuel tank cap at the ignition lock itself. Pass-by Switch allows the user to switch between high & low beam of the head lamp with easy press and auto release.",159
9,9,"The scooter has a 'Engine Kill Switch' feature which allows the engine to be shut without switching off the ignition. It also has a front fuel fill system for hassle-free fuel filling without getting off the vehicle. The seat is the longest in its category at 790 mm for comfortable travel. It also has a premium LED head lamp for better visibility during night rides. It has a patented E-Z Center Stand to reduce the effort required to place the scooter on stand. There is also a 'Parking Brake' feature for safety when the scooter is parked on a slope. Lastly, there is a 33 litre under-seat storage space to carry luggage and two helmets.",140
